,distrito_origen,distrito_destino,hora_inicio,minuto_inicio_aprox,auto/transporte,num_coincidencias,lat_origen,lng_origen,lat_destino,lng_destino
47,Alfredo Baranda,Centro Histórico,6,0,transporte,4,19.2799356,-98.9459245,19.4357068,-99.131757
48,Alfredo Baranda,Centro Histórico,6,30,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
49,Alfredo Baranda,Centro Histórico,7,0,transporte,7,19.2799356,-98.9459245,19.4357068,-99.131757
50,Alfredo Baranda,Centro Histórico,7,15,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
51,Alfredo Baranda,Centro Histórico,7,30,transporte,1,19.2799356,-98.9459245,19.4357068,-99.131757
52,Alfredo Baranda,Centro Histórico,8,0,transporte,4,19.2799356,-98.9459245,19.4357068,-99.131757
53,Alfredo Baranda,Centro Histórico,8,30,transporte,3,19.2799356,-98.9459245,19.4357068,-99.131757
54,Alfredo Baranda,Centro Histórico,9,0,transporte,3,19.2799356,-98.9459245,19.4357068,-99.131757
55,Alfredo Baranda,Centro Histórico,11,0,transporte,4,19.2799356,-98.9459245,19.4357068,-99.131757
56,Alfredo Baranda,Centro Histórico,15,0,transporte,3,19.2799356,-98.9459245,19.4357068,-99.131757
57,Alfredo Baranda,Chalco de Díaz Covarrubias,5,0,transporte,1,19.2799356,-98.9459245,19.262439999999998,-98.8969427
58,Alfredo Baranda,Chalco de Díaz Covarrubias,6,0,transporte,1,19.2799356,-98.9459245,19.262439999999998,-98.8969427
59,Alfredo Baranda,Chalco de Díaz Covarrubias,6,30,transporte,2,19.2799356,-98.9459245,19.262439999999998,-98.8969427
60,Alfredo Baranda,Chalco de Díaz Covarrubias,7,0,auto,3,19.2799356,-98.9459245,19.262439999999998,-98.8969427
61,Alfredo Baranda,Chalco de Díaz Covarrubias,7,0,transporte,3,19.2799356,-98.9459245,19.262439999999998,-98.8969427
62,Alfredo Baranda,Chalco de Díaz Covarrubias,7,30,transporte,1,19.2799356,-98.9459245,19.262439999999998,-98.8969427
63,Alfredo Baranda,Chalco de Díaz Covarrubias,8,0,transporte,5,19.2799356,-98.9459245,19.262439999999998,-98.8969427
64,Alfredo Baranda,Chalco de Díaz Covarrubias,8,30,transporte,1,19.2799356,-98.9459245,19.262439999999998,-98.8969427
65,Alfredo Baranda,Chalco de Díaz Covarrubias,9,0,auto,2,19.2799356,-98.9459245,19.262439999999998,-98.8969427
66,Alfredo Baranda,Chalco de Díaz Covarrubias,9,30,transporte,1,19.2799356,-98.9459245,19.262439999999998,-98.8969427
67,Alfredo Baranda,Chalco de Díaz Covarrubias,10,0,auto,4,19.2799356,-98.9459245,19.262439999999998,-98.8969427
68,Alfredo Baranda,Chalco de Díaz Covarrubias,11,0,auto,1,19.2799356,-98.9459245,19.262439999999998,-98.8969427
69,Alfredo Baranda,Chalco de Díaz Covarrubias,18,15,transporte,2,19.2799356,-98.9459245,19.262439999999998,-98.8969427
70,Alfredo Baranda,Chapultepec-Polanco,5,0,transporte,3,19.2799356,-98.9459245,19.4194815,-99.18945579999999
71,Alfredo Baranda,Chapultepec-Polanco,5,30,transporte,5,19.2799356,-98.9459245,19.4194815,-99.18945579999999
72,Alfredo Baranda,Chapultepec-Polanco,6,0,transporte,3,19.2799356,-98.9459245,19.4194815,-99.18945579999999
73,Alfredo Baranda,Chapultepec-Polanco,6,30,transporte,6,19.2799356,-98.9459245,19.4194815,-99.18945579999999
74,Alfredo Baranda,Chapultepec-Polanco,7,0,transporte,4,19.2799356,-98.9459245,19.4194815,-99.18945579999999
75,Alfredo Baranda,Chapultepec-Polanco,8,30,auto,2,19.2799356,-98.9459245,19.4194815,-99.18945579999999
76,Alfredo Baranda,Chapultepec-Polanco,10,0,transporte,1,19.2799356,-98.9459245,19.4194815,-99.18945579999999
77,Alfredo Baranda,Culhuacán CTM,6,0,transporte,1,19.2799356,-98.9459245,19.344183100000002,-99.1167039
78,Alfredo Baranda,Culhuacán CTM,8,0,transporte,1,19.2799356,-98.9459245,19.344183100000002,-99.1167039
79,Alfredo Baranda,Del Valle,5,0,transporte,3,19.2799356,-98.9459245,19.3817299,-99.1649891
80,Alfredo Baranda,Del Valle,5,30,transporte,1,19.2799356,-98.9459245,19.3817299,-99.1649891
81,Alfredo Baranda,Del Valle,8,0,transporte,1,19.2799356,-98.9459245,19.3817299,-99.1649891
82,Alfredo Baranda,Desarrollo Urbano Quetzalcoatl,8,0,transporte,1,19.2799356,-98.9459245,19.324551800000002,-99.04190679999999
83,Alfredo Baranda,Ejército Constitucionalista,5,30,transporte,1,19.2799356,-98.9459245,19.3829334,-99.05296259999999
84,Alfredo Baranda,Ejército Constitucionalista,10,0,transporte,1,19.2799356,-98.9459245,19.3829334,-99.05296259999999
85,Alfredo Baranda,Ejército Constitucionalista,13,45,transporte,1,19.2799356,-98.9459245,19.3829334,-99.05296259999999
86,Alfredo Baranda,El Rosario,4,30,transporte,1,19.2799356,-98.9459245,19.5094012,-99.2037508
87,Alfredo Baranda,Escuadrón 201,5,0,transporte,1,19.2799356,-98.9459245,19.3645868,-99.1092401
88,Alfredo Baranda,Geovillas de Ayotla-Unión Antorchista,8,0,transporte,1,19.2799356,-98.9459245,19.3177697,-98.8963379
89,Alfredo Baranda,Industrial Vallejo,4,0,transporte,2,19.2799356,-98.9459245,19.4936933,-99.1649891
90,Alfredo Baranda,Industrial Vallejo,5,0,transporte,3,19.2799356,-98.9459245,19.4936933,-99.1649891
91,Alfredo Baranda,Industrial Vallejo,6,0,transporte,3,19.2799356,-98.9459245,19.4936933,-99.1649891
92,Alfredo Baranda,Industrial Vallejo,7,0,transporte,2,19.2799356,-98.9459245,19.4936933,-99.1649891
